name,count_female,count_male,count_total_gender,share_female,share_male,race_W,count_race_W,race_B,count_race_B,race_H,count_race_H,race_A,count_race_A,count_total_race,share_white,share_black,share_hispanic,share_asian
John,0,817,817,0,1,WHITE,483,BLACK,50,HISPANIC,216,ASIAN_PACIFIC-ISLANDER,68,817,0.591187270501836,0.0611995104039168,0.26438188494492,0.0832313341493268
James,0,1098,1098,0,1,WHITE,641,BLACK,90,HISPANIC,235,ASIAN_PACIFIC-ISLANDER,132,1098,0.583788706739527,0.0819672131147541,0.214025500910747,0.120218579234973
Tyler,0,606,606,0,1,WHITE,124,BLACK,238,HISPANIC,144,ASIAN_PACIFIC-ISLANDER,100,606,0.204620462046205,0.392739273927393,0.237623762376238,0.165016501650165
William,0,990,990,0,1,WHITE,508,BLACK,76,HISPANIC,190,ASIAN_PACIFIC-ISLANDER,216,990,0.513131313131313,0.0767676767676768,0.191919191919192,0.218181818181818
Steven,0,368,368,0,1,WHITE,74,BLACK,12,HISPANIC,200,ASIAN_PACIFIC-ISLANDER,82,368,0.201086956521739,0.0326086956521739,0.543478260869565,0.222826086956522
Gael,0,184,184,0,1,,,,,HISPANIC,184,,,184,0,0,1,0
Ayden,0,469,469,0,1,WHITE,31,BLACK,166,HISPANIC,214,ASIAN_PACIFIC-ISLANDER,58,469,0.0660980810234542,0.353944562899787,0.456289978678038,0.123667377398721
Joel,0,355,355,0,1,WHITE,62,BLACK,81,HISPANIC,212,,,355,0.174647887323944,0.228169014084507,0.597183098591549,0
Nathaniel,0,525,525,0,1,WHITE,164,BLACK,137,HISPANIC,157,ASIAN_PACIFIC-ISLANDER,67,525,0.312380952380952,0.260952380952381,0.299047619047619,0.127619047619048
Alejandro,0,186,186,0,1,,,,,HISPANIC,186,,,186,0,0,1,0
Benjamin,0,1081,1081,0,1,WHITE,669,BLACK,75,HISPANIC,206,ASIAN_PACIFIC-ISLANDER,131,1081,0.618871415356152,0.0693802035152636,0.190564292321924,0.121184088806661
Nicolas,0,265,265,0,1,WHITE,89,,,HISPANIC,176,,,265,0.335849056603774,0,0.664150943396226,0
Diego,0,180,180,0,1,,,,,HISPANIC,180,,,180,0,0,1,0
Evan,0,572,572,0,1,WHITE,148,BLACK,42,HISPANIC,160,ASIAN_PACIFIC-ISLANDER,222,572,0.258741258741259,0.0734265734265734,0.27972027972028,0.388111888111888
Josiah,0,513,513,0,1,,,BLACK,293,HISPANIC,220,,,513,0,0.571150097465887,0.428849902534113,0
Santiago,0,155,155,0,1,,,,,HISPANIC,155,,,155,0,0,1,0
Leonardo,0,282,282,0,1,WHITE,103,,,HISPANIC,179,,,282,0.365248226950355,0,0.634751773049645,0
Victor,0,267,267,0,1,WHITE,77,BLACK,12,HISPANIC,133,ASIAN_PACIFIC-ISLANDER,45,267,0.288389513108614,0.0449438202247191,0.49812734082397,0.168539325842697
