name,count_female,count_male,count_total_gender,share_female,share_male,race_W,count_race_W,race_B,count_race_B,race_H,count_race_H,race_A,count_race_A,count_total_race,share_white,share_black,share_hispanic,share_asian
Yandel,0,18,18,0,1,,,,,HISPANIC,18,,,18,0,0,1,0
Zion,0,197,197,0,1,,,BLACK,150,HISPANIC,47,,,197,0,0.761421319796954,0.238578680203046,0
Armani,0,58,58,0,1,,,BLACK,10,HISPANIC,48,,,58,0,0.172413793103448,0.827586206896552,0
Esteban,0,17,17,0,1,,,,,HISPANIC,17,,,17,0,0,1,0
Fabian,0,39,39,0,1,,,,,HISPANIC,39,,,39,0,0,1,0
Jackson,0,379,379,0,1,WHITE,260,,,HISPANIC,62,ASIAN_PACIFIC-ISLANDER,57,379,0.686015831134565,0,0.163588390501319,0.150395778364116
Jaime,0,17,17,0,1,,,,,HISPANIC,17,,,17,0,0,1,0
Jonah,0,225,225,0,1,WHITE,157,BLACK,24,HISPANIC,44,,,225,0.697777777777778,0.106666666666667,0.195555555555556,0
Maximiliano,0,51,51,0,1,,,,,HISPANIC,51,,,51,0,0,1,0
Adonis,0,104,104,0,1,,,BLACK,57,HISPANIC,47,,,104,0,0.548076923076923,0.451923076923077,0
Austin,0,447,447,0,1,WHITE,72,BLACK,83,HISPANIC,103,ASIAN_PACIFIC-ISLANDER,189,447,0.161073825503356,0.185682326621924,0.230425055928412,0.422818791946309
Bradley,0,121,121,0,1,WHITE,32,BLACK,23,HISPANIC,66,,,121,0.264462809917355,0.190082644628099,0.545454545454545,0
Dante,0,53,53,0,1,WHITE,14,,,HISPANIC,39,,,53,0.264150943396226,0,0.735849056603774,0
Leo,0,543,543,0,1,WHITE,333,,,HISPANIC,69,ASIAN_PACIFIC-ISLANDER,141,543,0.613259668508287,0,0.12707182320442,0.259668508287293
Martin,0,145,145,0,1,WHITE,90,,,HISPANIC,45,ASIAN_PACIFIC-ISLANDER,10,145,0.620689655172414,0,0.310344827586207,0.0689655172413793
Pablo,0,61,61,0,1,,,,,HISPANIC,61,,,61,0,0,1,0
Amir,0,406,406,0,1,WHITE,85,BLACK,263,HISPANIC,58,,,406,0.20935960591133,0.647783251231527,0.142857142857143,0
Brayden,0,158,158,0,1,WHITE,53,BLACK,10,HISPANIC,55,ASIAN_PACIFIC-ISLANDER,40,158,0.335443037974684,0.0632911392405063,0.348101265822785,0.253164556962025
Cristopher,0,26,26,0,1,,,,,HISPANIC,26,,,26,0,0,1,0
Gustavo,0,29,29,0,1,,,,,HISPANIC,29,,,29,0,0,1,0
Jay,0,71,71,0,1,WHITE,12,,,HISPANIC,41,ASIAN_PACIFIC-ISLANDER,18,71,0.169014084507042,0,0.577464788732394,0.253521126760563
Joaquin,0,66,66,0,1,WHITE,21,,,HISPANIC,45,,,66,0.318181818181818,0,0.681818181818182,0
Julien,0,58,58,0,1,WHITE,33,,,HISPANIC,25,,,58,0.568965517241379,0,0.431034482758621,0
Kenny,0,46,46,0,1,,,,,HISPANIC,46,,,46,0,0,1,0
Leandro,0,47,47,0,1,,,,,HISPANIC,47,,,47,0,0,1,0
Lorenzo,0,126,126,0,1,WHITE,69,,,HISPANIC,57,,,126,0.547619047619048,0,0.452380952380952,0
Mark,0,195,195,0,1,WHITE,150,,,HISPANIC,45,,,195,0.769230769230769,0,0.230769230769231,0
Nelson,0,63,63,0,1,,,,,HISPANIC,41,ASIAN_PACIFIC-ISLANDER,22,63,0,0,0.650793650793651,0.349206349206349
Raul,0,37,37,0,1,,,,,HISPANIC,37,,,37,0,0,1,0
Romeo,0,25,25,0,1,,,,,HISPANIC,25,,,25,0,0,1,0
Alberto,0,27,27,0,1,,,,,HISPANIC,27,,,27,0,0,1,0
Aldo,0,14,14,0,1,,,,,HISPANIC,14,,,14,0,0,1,0
Angelo,0,104,104,0,1,WHITE,55,,,HISPANIC,49,,,104,0.528846153846154,0,0.471153846153846,0
Carter,0,351,351,0,1,WHITE,72,BLACK,191,HISPANIC,55,ASIAN_PACIFIC-ISLANDER,33,351,0.205128205128205,0.544159544159544,0.156695156695157,0.094017094017094
Denzel,0,28,28,0,1,,,,,HISPANIC,28,,,28,0,0,1,0
Gregory,0,77,77,0,1,WHITE,42,BLACK,10,HISPANIC,25,,,77,0.545454545454545,0.12987012987013,0.324675324675325,0
Hugo,0,79,79,0,1,WHITE,54,,,HISPANIC,14,ASIAN_PACIFIC-ISLANDER,11,79,0.683544303797468,0,0.177215189873418,0.139240506329114
Kaleb,0,82,82,0,1,,,BLACK,56,HISPANIC,26,,,82,0,0.682926829268293,0.317073170731707,0
Louis,0,169,169,0,1,WHITE,73,,,HISPANIC,44,ASIAN_PACIFIC-ISLANDER,52,169,0.431952662721893,0,0.260355029585799,0.307692307692308
Marvin,0,24,24,0,1,,,,,HISPANIC,24,,,24,0,0,1,0
Neymar,0,30,30,0,1,,,,,HISPANIC,30,,,30,0,0,1,0
Preston,0,116,116,0,1,WHITE,31,BLACK,46,HISPANIC,24,ASIAN_PACIFIC-ISLANDER,15,116,0.267241379310345,0.396551724137931,0.206896551724138,0.129310344827586
Vincent,0,368,368,0,1,WHITE,137,,,HISPANIC,57,ASIAN_PACIFIC-ISLANDER,174,368,0.372282608695652,0,0.154891304347826,0.472826086956522
Bruce,0,35,35,0,1,,,,,HISPANIC,25,ASIAN_PACIFIC-ISLANDER,10,35,0,0,0.714285714285714,0.285714285714286
Bryant,0,25,25,0,1,,,,,HISPANIC,25,,,25,0,0,1,0
Frank,0,115,115,0,1,WHITE,77,,,HISPANIC,38,,,115,0.669565217391304,0,0.330434782608696,0
Franklin,0,26,26,0,1,,,,,HISPANIC,26,,,26,0,0,1,0
Jefferson,0,45,45,0,1,,,,,HISPANIC,45,,,45,0,0,1,0
Luca,0,280,280,0,1,WHITE,233,,,HISPANIC,47,,,280,0.832142857142857,0,0.167857142857143,0
Marlon,0,33,33,0,1,,,,,HISPANIC,33,,,33,0,0,1,0
Mathias,0,55,55,0,1,,,,,HISPANIC,55,,,55,0,0,1,0
Mauricio,0,23,23,0,1,,,,,HISPANIC,23,,,23,0,0,1,0
Moises,0,50,50,0,1,,,,,HISPANIC,50,,,50,0,0,1,0
Peter,0,202,202,0,1,WHITE,152,,,HISPANIC,50,,,202,0.752475247524752,0,0.247524752475248,0
Ronald,0,13,13,0,1,,,,,HISPANIC,13,,,13,0,0,1,0
Stephen,0,65,65,0,1,WHITE,40,BLACK,12,HISPANIC,13,,,65,0.615384615384615,0.184615384615385,0.2,0
Steve,0,13,13,0,1,,,,,HISPANIC,13,,,13,0,0,1,0
Uriel,0,49,49,0,1,,,,,HISPANIC,49,,,49,0,0,1,0
Zayden,0,55,55,0,1,,,BLACK,23,HISPANIC,32,,,55,0,0.418181818181818,0.581818181818182,0
Alvin,0,131,131,0,1,,,,,HISPANIC,12,ASIAN_PACIFIC-ISLANDER,119,131,0,0,0.0916030534351145,0.908396946564885
Camilo,0,23,23,0,1,,,,,HISPANIC,23,,,23,0,0,1,0
Charles,0,525,525,0,1,WHITE,384,BLACK,50,HISPANIC,28,ASIAN_PACIFIC-ISLANDER,63,525,0.731428571428571,0.0952380952380952,0.0533333333333333,0.12
Donovan,0,27,27,0,1,WHITE,15,,,HISPANIC,12,,,27,0.555555555555556,0,0.444444444444444,0
Eddy,0,12,12,0,1,,,,,HISPANIC,12,,,12,0,0,1,0
Freddy,0,12,12,0,1,,,,,HISPANIC,12,,,12,0,0,1,0
Hunter,0,308,308,0,1,WHITE,119,BLACK,75,HISPANIC,67,ASIAN_PACIFIC-ISLANDER,47,308,0.386363636363636,0.243506493506494,0.217532467532468,0.152597402597403
Mike,0,40,40,0,1,,,,,HISPANIC,40,,,40,0,0,1,0
Paul,0,151,151,0,1,WHITE,89,BLACK,27,HISPANIC,35,,,151,0.589403973509934,0.178807947019868,0.231788079470199,0
Rodrigo,0,40,40,0,1,,,,,HISPANIC,40,,,40,0,0,1,0
Ruben,0,12,12,0,1,,,,,HISPANIC,12,,,12,0,0,1,0
Saul,0,12,12,0,1,,,,,HISPANIC,12,,,12,0,0,1,0
Sergio,0,42,42,0,1,,,,,HISPANIC,42,,,42,0,0,1,0
Wesley,0,133,133,0,1,WHITE,58,,,HISPANIC,23,ASIAN_PACIFIC-ISLANDER,52,133,0.43609022556391,0,0.172932330827068,0.390977443609023
Abdiel,0,27,27,0,1,,,,,HISPANIC,27,,,27,0,0,1,0
Adan,0,21,21,0,1,,,,,HISPANIC,21,,,21,0,0,1,0
Aden,0,61,61,0,1,,,BLACK,27,HISPANIC,22,ASIAN_PACIFIC-ISLANDER,12,61,0,0.442622950819672,0.360655737704918,0.19672131147541
Bryce,0,137,137,0,1,WHITE,11,BLACK,95,HISPANIC,31,,,137,0.0802919708029197,0.693430656934307,0.226277372262774,0
Damien,0,42,42,0,1,,,,,HISPANIC,42,,,42,0,0,1,0
Dominick,0,102,102,0,1,WHITE,47,BLACK,10,HISPANIC,45,,,102,0.46078431372549,0.0980392156862745,0.441176470588235,0
Enrique,0,23,23,0,1,,,,,HISPANIC,23,,,23,0,0,1,0
Izaiah,0,11,11,0,1,,,,,HISPANIC,11,,,11,0,0,1,0
Lukas,0,93,93,0,1,WHITE,67,,,HISPANIC,26,,,93,0.720430107526882,0,0.279569892473118,0
Matteo,0,153,153,0,1,WHITE,86,,,HISPANIC,67,,,153,0.562091503267974,0,0.437908496732026,0
Wilson,0,64,64,0,1,,,,,HISPANIC,21,ASIAN_PACIFIC-ISLANDER,43,64,0,0,0.328125,0.671875
Armando,0,10,10,0,1,,,,,HISPANIC,10,,,10,0,0,1,0
Ashton,0,108,108,0,1,,,BLACK,74,HISPANIC,22,ASIAN_PACIFIC-ISLANDER,12,108,0,0.685185185185185,0.203703703703704,0.111111111111111
Carmelo,0,35,35,0,1,,,BLACK,11,HISPANIC,24,,,35,0,0.314285714285714,0.685714285714286,0
Dean,0,104,104,0,1,WHITE,82,,,HISPANIC,22,,,104,0.788461538461538,0,0.211538461538462,0
Elvin,0,10,10,0,1,,,,,HISPANIC,10,,,10,0,0,1,0
Emiliano,0,10,10,0,1,,,,,HISPANIC,10,,,10,0,0,1,0
Ezekiel,0,50,50,0,1,,,BLACK,14,HISPANIC,36,,,50,0,0.28,0.72,0
Jaylen,0,78,78,0,1,,,BLACK,68,HISPANIC,10,,,78,0,0.871794871794872,0.128205128205128,0
Jayren,0,10,10,0,1,,,,,HISPANIC,10,,,10,0,0,1,0
Jencarlos,0,10,10,0,1,,,,,HISPANIC,10,,,10,0,0,1,0
Jonas,0,58,58,0,1,,,BLACK,13,HISPANIC,45,,,58,0,0.224137931034483,0.775862068965517,0
Kaiden,0,202,202,0,1,,,BLACK,139,HISPANIC,63,,,202,0,0.688118811881188,0.311881188118812,0
Leonel,0,23,23,0,1,,,,,HISPANIC,23,,,23,0,0,1,0
Luke,0,442,442,0,1,WHITE,298,BLACK,32,HISPANIC,38,ASIAN_PACIFIC-ISLANDER,74,442,0.67420814479638,0.0723981900452489,0.085972850678733,0.167420814479638
Roman,0,95,95,0,1,WHITE,70,,,HISPANIC,25,,,95,0.736842105263158,0,0.263157894736842,0
Yariel,0,20,20,0,1,,,,,HISPANIC,20,,,20,0,0,1,0
Malachi,0,152,152,0,1,,,BLACK,152,,,,,152,0,1,0,0
Mohamed,0,255,255,0,1,WHITE,112,BLACK,131,,,ASIAN_PACIFIC-ISLANDER,12,255,0.43921568627451,0.513725490196078,0,0.0470588235294118
King,0,209,209,0,1,,,BLACK,167,HISPANIC,42,,,209,0,0.799043062200957,0.200956937799043,0
Amari,0,114,114,0,1,,,BLACK,114,,,,,114,0,1,0,0
Mamadou,0,92,92,0,1,,,BLACK,92,,,,,92,0,1,0,0
Nasir,0,89,89,0,1,,,BLACK,89,,,,,89,0,1,0,0
Messiah,0,152,152,0,1,,,BLACK,120,HISPANIC,32,,,152,0,0.789473684210526,0.210526315789474,0
Micah,0,144,144,0,1,WHITE,54,BLACK,90,,,,,144,0.375,0.625,0,0
Ibrahim,0,237,237,0,1,WHITE,57,BLACK,89,,,ASIAN_PACIFIC-ISLANDER,91,237,0.240506329113924,0.375527426160338,0,0.383966244725738
Chance,0,75,75,0,1,,,BLACK,75,,,,,75,0,1,0,0
Malik,0,93,93,0,1,WHITE,25,BLACK,68,,,,,93,0.268817204301075,0.731182795698925,0,0
Zaire,0,66,66,0,1,,,BLACK,66,,,,,66,0,1,0,0
Amadou,0,49,49,0,1,,,BLACK,49,,,,,49,0,1,0,0
Mekhi,0,53,53,0,1,,,BLACK,53,,,,,53,0,1,0,0
Shawn,0,60,60,0,1,,,BLACK,35,,,ASIAN_PACIFIC-ISLANDER,25,60,0,0.583333333333333,0,0.416666666666667
Kymani,0,20,20,0,1,,,BLACK,20,,,,,20,0,1,0,0
Cayden,0,75,75,0,1,,,BLACK,52,HISPANIC,13,ASIAN_PACIFIC-ISLANDER,10,75,0,0.693333333333333,0.173333333333333,0.133333333333333
Miles,0,256,256,0,1,WHITE,169,BLACK,29,HISPANIC,11,ASIAN_PACIFIC-ISLANDER,47,256,0.66015625,0.11328125,0.04296875,0.18359375
Khalil,0,33,33,0,1,,,BLACK,33,,,,,33,0,1,0,0
Ibrahima,0,46,46,0,1,,,BLACK,46,,,,,46,0,1,0,0
Jalen,0,31,31,0,1,,,BLACK,31,,,,,31,0,1,0,0
Muhammad,0,477,477,0,1,WHITE,51,BLACK,46,,,ASIAN_PACIFIC-ISLANDER,380,477,0.106918238993711,0.0964360587002096,0,0.79664570230608
Omari,0,45,45,0,1,,,BLACK,45,,,,,45,0,1,0,0
Oumar,0,45,45,0,1,,,BLACK,45,,,,,45,0,1,0,0
Amar'e,0,28,28,0,1,,,BLACK,28,,,,,28,0,1,0,0
Jamari,0,39,39,0,1,,,BLACK,39,,,,,39,0,1,0,0
Jasiah,0,42,42,0,1,,,BLACK,31,HISPANIC,11,,,42,0,0.738095238095238,0.261904761904762,0
Judah,0,109,109,0,1,WHITE,80,BLACK,29,,,,,109,0.73394495412844,0.26605504587156,0,0
Kaden,0,72,72,0,1,,,BLACK,58,HISPANIC,14,,,72,0,0.805555555555556,0.194444444444444,0
Shane,0,99,99,0,1,WHITE,53,BLACK,46,,,,,99,0.535353535353535,0.464646464646465,0,0
Abdoulaye,0,33,33,0,1,,,BLACK,33,,,,,33,0,1,0,0
Abdul,0,65,65,0,1,,,BLACK,15,,,ASIAN_PACIFIC-ISLANDER,50,65,0,0.230769230769231,0,0.769230769230769
Amare,0,30,30,0,1,,,BLACK,30,,,,,30,0,1,0,0
Justice,0,65,65,0,1,,,BLACK,53,HISPANIC,12,,,65,0,0.815384615384615,0.184615384615385,0
Kiyan,0,15,15,0,1,,,BLACK,15,,,,,15,0,1,0,0
Levi,0,253,253,0,1,WHITE,171,BLACK,49,HISPANIC,33,,,253,0.675889328063241,0.193675889328063,0.130434782608696,0
Myles,0,59,59,0,1,WHITE,23,BLACK,36,,,,,59,0.389830508474576,0.610169491525424,0,0
Ali,0,206,206,0,1,WHITE,133,BLACK,24,,,ASIAN_PACIFIC-ISLANDER,49,206,0.645631067961165,0.116504854368932,0,0.237864077669903
Alpha,0,41,41,0,1,,,BLACK,41,,,,,41,0,1,0,0
Darius,0,39,39,0,1,,,BLACK,39,,,,,39,0,1,0,0
Jermaine,0,14,14,0,1,,,BLACK,14,,,,,14,0,1,0,0
Kai,0,210,210,0,1,WHITE,67,BLACK,62,HISPANIC,14,ASIAN_PACIFIC-ISLANDER,67,210,0.319047619047619,0.295238095238095,0.0666666666666667,0.319047619047619
Kareem,0,29,29,0,1,,,BLACK,29,,,,,29,0,1,0,0
Darren,0,98,98,0,1,,,BLACK,13,,,ASIAN_PACIFIC-ISLANDER,85,98,0,0.13265306122449,0,0.86734693877551
Maurice,0,13,13,0,1,,,BLACK,13,,,,,13,0,1,0,0
Nathanael,0,24,24,0,1,,,BLACK,13,HISPANIC,11,,,24,0,0.541666666666667,0.458333333333333,0
Troy,0,13,13,0,1,,,BLACK,13,,,,,13,0,1,0,0
Jahmir,0,12,12,0,1,,,BLACK,12,,,,,12,0,1,0,0
Moussa,0,42,42,0,1,,,BLACK,42,,,,,42,0,1,0,0
Samir,0,63,63,0,1,WHITE,40,BLACK,23,,,,,63,0.634920634920635,0.365079365079365,0,0
Camren,0,32,32,0,1,,,BLACK,32,,,,,32,0,1,0,0
Chad,0,11,11,0,1,,,BLACK,11,,,,,11,0,1,0,0
Derrick,0,32,32,0,1,,,BLACK,32,,,,,32,0,1,0,0
Leon,0,164,164,0,1,WHITE,96,BLACK,24,,,ASIAN_PACIFIC-ISLANDER,44,164,0.585365853658537,0.146341463414634,0,0.268292682926829
Makhi,0,11,11,0,1,,,BLACK,11,,,,,11,0,1,0,0
Mohammed,0,159,159,0,1,WHITE,65,BLACK,11,,,ASIAN_PACIFIC-ISLANDER,83,159,0.408805031446541,0.0691823899371069,0,0.522012578616352
Abdoul,0,21,21,0,1,,,BLACK,21,,,,,21,0,1,0,0
Boubacar,0,23,23,0,1,,,BLACK,23,,,,,23,0,1,0,0
Bryson,0,71,71,0,1,,,BLACK,54,HISPANIC,17,,,71,0,0.76056338028169,0.23943661971831,0
Caden,0,28,28,0,1,,,BLACK,10,,,ASIAN_PACIFIC-ISLANDER,18,28,0,0.357142857142857,0,0.642857142857143
Connor,0,254,254,0,1,WHITE,152,BLACK,38,,,ASIAN_PACIFIC-ISLANDER,64,254,0.598425196850394,0.149606299212598,0,0.251968503937008
Damani,0,10,10,0,1,,,BLACK,10,,,,,10,0,1,0,0
Kamari,0,34,34,0,1,,,BLACK,34,,,,,34,0,1,0,0
Keith,0,10,10,0,1,,,BLACK,10,,,,,10,0,1,0,0
Kristian,0,10,10,0,1,,,BLACK,10,,,,,10,0,1,0,0
Mahamadou,0,10,10,0,1,,,BLACK,10,,,,,10,0,1,0,0
Makai,0,10,10,0,1,,,BLACK,10,,,,,10,0,1,0,0
Sincere,0,40,40,0,1,,,BLACK,40,,,,,40,0,1,0,0
Terrell,0,10,10,0,1,,,BLACK,10,,,,,10,0,1,0,0
Timothy,0,172,172,0,1,WHITE,73,BLACK,33,HISPANIC,23,ASIAN_PACIFIC-ISLANDER,43,172,0.424418604651163,0.191860465116279,0.133720930232558,0.25
Moshe,0,739,739,0,1,WHITE,739,,,,,,,739,1,0,0,0
Chaim,0,459,459,0,1,WHITE,459,,,,,,,459,1,0,0,0
Yosef,0,340,340,0,1,WHITE,340,,,,,,,340,1,0,0,0
Shimon,0,288,288,0,1,WHITE,288,,,,,,,288,1,0,0,0
Mordechai,0,261,261,0,1,WHITE,261,,,,,,,261,1,0,0,0
Theodore,0,353,353,0,1,WHITE,296,,,,,ASIAN_PACIFIC-ISLANDER,57,353,0.838526912181303,0,0,0.161473087818697
Yisroel,0,247,247,0,1,WHITE,247,,,,,,,247,1,0,0,0
Yehuda,0,245,245,0,1,WHITE,245,,,,,,,245,1,0,0,0
Menachem,0,235,235,0,1,WHITE,235,,,,,,,235,1,0,0,0
Aron,0,209,209,0,1,WHITE,209,,,,,,,209,1,0,0,0
Owen,0,429,429,0,1,WHITE,213,BLACK,10,HISPANIC,38,ASIAN_PACIFIC-ISLANDER,168,429,0.496503496503497,0.0233100233100233,0.0885780885780886,0.391608391608392
Yitzchok,0,209,209,0,1,WHITE,209,,,,,,,209,1,0,0,0
Yakov,0,179,179,0,1,WHITE,179,,,,,,,179,1,0,0,0
Hudson,0,237,237,0,1,WHITE,178,,,HISPANIC,12,ASIAN_PACIFIC-ISLANDER,47,237,0.751054852320675,0,0.0506329113924051,0.19831223628692
Asher,0,235,235,0,1,WHITE,178,BLACK,14,HISPANIC,10,ASIAN_PACIFIC-ISLANDER,33,235,0.757446808510638,0.0595744680851064,0.0425531914893617,0.140425531914894
Simon,0,173,173,0,1,WHITE,162,,,,,ASIAN_PACIFIC-ISLANDER,11,173,0.936416184971098,0,0,0.0635838150289017
Ezra,0,206,206,0,1,WHITE,156,BLACK,20,HISPANIC,30,,,206,0.757281553398058,0.0970873786407767,0.145631067961165,0
Shlomo,0,186,186,0,1,WHITE,186,,,,,,,186,1,0,0,0
Meir,0,147,147,0,1,WHITE,147,,,,,,,147,1,0,0,0
Mendel,0,125,125,0,1,WHITE,125,,,,,,,125,1,0,0,0
Shmuel,0,164,164,0,1,WHITE,164,,,,,,,164,1,0,0,0
Yaakov,0,154,154,0,1,WHITE,154,,,,,,,154,1,0,0,0
Zev,0,142,142,0,1,WHITE,142,,,,,,,142,1,0,0,0
Avraham,0,140,140,0,1,WHITE,140,,,,,,,140,1,0,0,0
Colin,0,123,123,0,1,WHITE,112,,,,,ASIAN_PACIFIC-ISLANDER,11,123,0.910569105691057,0,0,0.0894308943089431
Ari,0,120,120,0,1,WHITE,120,,,,,,,120,1,0,0,0
Tzvi,0,136,136,0,1,WHITE,136,,,,,,,136,1,0,0,0
Declan,0,104,104,0,1,WHITE,104,,,,,,,104,1,0,0,0
Shulem,0,104,104,0,1,WHITE,104,,,,,,,104,1,0,0,0
Solomon,0,114,114,0,1,WHITE,114,,,,,,,114,1,0,0,0
Cooper,0,89,89,0,1,WHITE,89,,,,,,,89,1,0,0,0
Simcha,0,94,94,0,1,WHITE,94,,,,,,,94,1,0,0,0
Ahmed,0,143,143,0,1,WHITE,96,,,,,ASIAN_PACIFIC-ISLANDER,47,143,0.671328671328671,0,0,0.328671328671329
Dov,0,110,110,0,1,WHITE,110,,,,,,,110,1,0,0,0
Patrick,0,164,164,0,1,WHITE,122,BLACK,10,HISPANIC,16,ASIAN_PACIFIC-ISLANDER,16,164,0.74390243902439,0.0609756097560976,0.0975609756097561,0.0975609756097561
August,0,96,96,0,1,WHITE,84,,,HISPANIC,12,,,96,0.875,0,0.125,0
Harrison,0,182,182,0,1,WHITE,121,,,HISPANIC,12,ASIAN_PACIFIC-ISLANDER,49,182,0.664835164835165,0,0.0659340659340659,0.269230769230769
Maximilian,0,114,114,0,1,WHITE,82,,,HISPANIC,22,ASIAN_PACIFIC-ISLANDER,10,114,0.719298245614035,0,0.192982456140351,0.087719298245614
Arthur,0,96,96,0,1,WHITE,96,,,,,,,96,1,0,0,0
Avrohom,0,82,82,0,1,WHITE,82,,,,,,,82,1,0,0,0
Eliezer,0,111,111,0,1,WHITE,111,,,,,,,111,1,0,0,0
Eliyahu,0,85,85,0,1,WHITE,85,,,,,,,85,1,0,0,0
Elliot,0,100,100,0,1,WHITE,89,,,HISPANIC,11,,,100,0.89,0,0.11,0
Sam,0,102,102,0,1,WHITE,102,,,,,,,102,1,0,0,0
Yechiel,0,85,85,0,1,WHITE,85,,,,,,,85,1,0,0,0
Aryeh,0,82,82,0,1,WHITE,82,,,,,,,82,1,0,0,0
Jasper,0,129,129,0,1,WHITE,65,,,,,ASIAN_PACIFIC-ISLANDER,64,129,0.503875968992248,0,0,0.496124031007752
Usher,0,73,73,0,1,WHITE,73,,,,,,,73,1,0,0,0
Dovid,0,98,98,0,1,WHITE,98,,,,,,,98,1,0,0,0
Finn,0,88,88,0,1,WHITE,88,,,,,,,88,1,0,0,0
Lipa,0,94,94,0,1,WHITE,94,,,,,,,94,1,0,0,0
Shaya,0,100,100,0,1,WHITE,100,,,,,,,100,1,0,0,0
Hershy,0,83,83,0,1,WHITE,83,,,,,,,83,1,0,0,0
Salvatore,0,71,71,0,1,WHITE,71,,,,,,,71,1,0,0,0
Shia,0,81,81,0,1,WHITE,81,,,,,,,81,1,0,0,0
Brendan,0,65,65,0,1,WHITE,55,,,,,ASIAN_PACIFIC-ISLANDER,10,65,0.846153846153846,0,0,0.153846153846154
Grayson,0,139,139,0,1,WHITE,84,BLACK,16,HISPANIC,29,ASIAN_PACIFIC-ISLANDER,10,139,0.60431654676259,0.115107913669065,0.20863309352518,0.0719424460431655
Maxim,0,74,74,0,1,WHITE,74,,,,,,,74,1,0,0,0
Mendy,0,58,58,0,1,WHITE,58,,,,,,,58,1,0,0,0
Naftali,0,79,79,0,1,WHITE,79,,,,,,,79,1,0,0,0
Luka,0,71,71,0,1,WHITE,71,,,,,,,71,1,0,0,0
Mayer,0,79,79,0,1,WHITE,79,,,,,,,79,1,0,0,0
Philip,0,73,73,0,1,WHITE,73,,,,,,,73,1,0,0,0
Shmiel,0,72,72,0,1,WHITE,72,,,,,,,72,1,0,0,0
Yoel,0,53,53,0,1,WHITE,53,,,,,,,53,1,0,0,0
Brady,0,38,38,0,1,WHITE,38,,,,,,,38,1,0,0,0
Jude,0,71,71,0,1,WHITE,71,,,,,,,71,1,0,0,0
Moishe,0,53,53,0,1,WHITE,53,,,,,,,53,1,0,0,0
Parker,0,80,80,0,1,WHITE,80,,,,,,,80,1,0,0,0
Wyatt,0,103,103,0,1,WHITE,93,BLACK,10,,,,,103,0.902912621359223,0.0970873786407767,0,0
Yehoshua,0,65,65,0,1,WHITE,65,,,,,,,65,1,0,0,0
Eitan,0,57,57,0,1,WHITE,57,,,,,,,57,1,0,0,0
Graham,0,67,67,0,1,WHITE,67,,,,,,,67,1,0,0,0
Hershel,0,68,68,0,1,WHITE,68,,,,,,,68,1,0,0,0
Akiva,0,71,71,0,1,WHITE,71,,,,,,,71,1,0,0,0
Cole,0,80,80,0,1,WHITE,80,,,,,,,80,1,0,0,0
Gavriel,0,56,56,0,1,WHITE,56,,,,,,,56,1,0,0,0
Milo,0,67,67,0,1,WHITE,67,,,,,,,67,1,0,0,0
Efraim,0,55,55,0,1,WHITE,55,,,,,,,55,1,0,0,0
Griffin,0,49,49,0,1,WHITE,49,,,,,,,49,1,0,0,0
Jesse,0,54,54,0,1,WHITE,54,,,,,,,54,1,0,0,0
Shlome,0,58,58,0,1,WHITE,58,,,,,,,58,1,0,0,0
Avrum,0,47,47,0,1,WHITE,47,,,,,,,47,1,0,0,0
Baruch,0,53,53,0,1,WHITE,53,,,,,,,53,1,0,0,0
Ben,0,73,73,0,1,WHITE,73,,,,,,,73,1,0,0,0
Elimelech,0,54,54,0,1,WHITE,54,,,,,,,54,1,0,0,0
Moses,0,86,86,0,1,WHITE,86,,,,,,,86,1,0,0,0
Nolan,0,132,132,0,1,WHITE,74,BLACK,30,HISPANIC,18,ASIAN_PACIFIC-ISLANDER,10,132,0.560606060606061,0.227272727272727,0.136363636363636,0.0757575757575758
Raphael,0,71,71,0,1,WHITE,71,,,,,,,71,1,0,0,0
Rocco,0,59,59,0,1,WHITE,59,,,,,,,59,1,0,0,0
Spencer,0,66,66,0,1,WHITE,66,,,,,,,66,1,0,0,0
Ilan,0,29,29,0,1,WHITE,29,,,,,,,29,1,0,0,0
Nachman,0,28,28,0,1,WHITE,28,,,,,,,28,1,0,0,0
Chesky,0,44,44,0,1,WHITE,44,,,,,,,44,1,0,0,0
Rayan,0,120,120,0,1,WHITE,63,,,,,ASIAN_PACIFIC-ISLANDER,57,120,0.525,0,0,0.475
Shloimy,0,45,45,0,1,WHITE,45,,,,,,,45,1,0,0,0
Ahmad,0,48,48,0,1,WHITE,36,,,,,ASIAN_PACIFIC-ISLANDER,12,48,0.75,0,0,0.25
Alter,0,15,15,0,1,WHITE,15,,,,,,,15,1,0,0,0
Brody,0,51,51,0,1,WHITE,51,,,,,,,51,1,0,0,0
Drew,0,15,15,0,1,WHITE,15,,,,,,,15,1,0,0,0
Ephraim,0,15,15,0,1,WHITE,15,,,,,,,15,1,0,0,0
Everett,0,54,54,0,1,WHITE,54,,,,,,,54,1,0,0,0
Filip,0,26,26,0,1,WHITE,26,,,,,,,26,1,0,0,0
Grant,0,52,52,0,1,WHITE,52,,,,,,,52,1,0,0,0
Kieran,0,36,36,0,1,WHITE,36,,,,,,,36,1,0,0,0
Rory,0,25,25,0,1,WHITE,25,,,,,,,25,1,0,0,0
